Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"AUDCAD, AUDCHF",0.004195,0.005417,0.5814102,0.785420492,0.213579509,0.004077645
"AUDCAD, AUDJPY",0.004195,0.005327,0.254021991,0.654959173,0.344040828,0.003669618
"AUDCAD, AUDNZD",0.004195,0.0025,-0.419662125,0.325891424,0.673108576,0.001664278
"AUDCAD, AUDUSD",0.004195,0.006053,0.033514267,0.680544921,0.318455079,0.003497844
"AUDCAD, CADCHF",0.004195,0.004899,-0.040378428,0.573435832,0.425564168,0.003119018
"AUDCAD, CADJPY",0.004195,0.004427,-0.338639723,0.519573614,0.479426386,0.002474317
"AUDCAD, CHFJPY",0.004195,0.003393,-0.387157454,0.423760351,0.575239649,0.002069543
"AUDCAD, GBPAUD",0.004195,0.004151,0.308020095,0.491891943,0.507108057,0.003371185
"AUDCAD, GBPCAD",0.004195,0.004095,-0.484417977,0.491399838,0.507600162,0.002102082
"AUDCAD, GBPCHF",0.004195,0.004237,-0.057695906,0.504207528,0.494792472,0.002890887
"AUDCAD, GBPJPY",0.004195,0.00406,0.01806332,0.482918177,0.516081823,0.002940686
"AUDCAD, GBPNZD",0.004195,0.004603,-0.104891212,0.541366891,0.457633109,0.002931092
"AUDCAD, GBPUSD",0.004195,0.004111,-0.459222316,0.492578451,0.506421549,0.002157094
"AUDCAD, NZDCAD",0.004195,0.004553,0.121061974,0.545843663,0.453156338,0.003262517
"AUDCAD, NZDCHF",0.004195,0.005457,0.287031408,0.677229577,0.321770423,0.003744068
"AUDCAD, NZDJPY",0.004195,0.005916,-0.152654917,0.643946942,0.355053058,0.003158642
"AUDCAD, NZDUSD",0.004195,0.006347,0.110018467,0.717320385,0.281679615,0.003665393
"AUDCAD, USDCAD",0.004195,0.004198,-0.262177979,0.499778084,0.499221916,0.002546323
"AUDCAD, USDCHF",0.004195,0.004141,0.19427404,0.491466848,0.507533152,0.003217351
"AUDCAD, USDJPY",0.004195,0.003077,-0.568449924,0.402199544,0.596800456,0.001642079
"AUDCHF, AUDJPY",0.005417,0.005327,0.332166974,0.486971834,0.512028166,0.004379303
"AUDCHF, AUDNZD",0.005417,0.0025,-0.526068241,0.268074238,0.730925762,0.001629707
"AUDCHF, AUDUSD",0.005417,0.006053,-0.291939735,0.542314937,0.456685064,0.003395597
"AUDCHF, CADCHF",0.005417,0.004899,0.142365813,0.441200645,0.557799355,0.003878019
"AUDCHF, CADJPY",0.005417,0.004427,-0.431214398,0.429588819,0.569411181,0.002590481
"AUDCHF, CHFJPY",0.005417,0.003393,-0.472056075,0.346484932,0.652515068,0.002121628
"AUDCHF, GBPAUD",0.005417,0.004151,0.576153644,0.206649635,0.792350367,0.004039001
"AUDCHF, GBPCAD",0.005417,0.004095,-0.496017386,0.407301491,0.59169851,0.002331421
"AUDCHF, GBPCHF",0.005417,0.004237,0.176314744,0.354351867,0.644648133,0.00360469
"AUDCHF, GBPJPY",0.005417,0.00406,-0.231755371,0.384781782,0.614218218,0.002855519
"AUDCHF, GBPNZD",0.005417,0.004603,0.190216709,0.396228753,0.602771247,0.00381715
"AUDCHF, GBPUSD",0.005417,0.004111,-0.396387313,0.402219933,0.596780067,0.002555099
"AUDCHF, NZDCAD",0.005417,0.004553,0.071591847,0.407057202,0.591942798,0.003602321
"AUDCHF, NZDCHF",0.005417,0.005457,-0.389993939,0.502171793,0.496828207,0.002999644
"AUDCHF, NZDJPY",0.005417,0.005916,-0.331736446,0.532482597,0.466517403,0.003264264
"AUDCHF, NZDUSD",0.005417,0.006347,0.423932798,0.634412187,0.364587814,0.004889548
"AUDCHF, USDCAD",0.005417,0.004198,-0.421954396,0.410801629,0.588198371,0.002532208
"AUDCHF, USDCHF",0.005417,0.004141,0.000830368,0.368377844,0.630622156,0.003287876
"AUDCHF, USDJPY",0.005417,0.003077,-0.811918681,0.348795965,0.650204035,0.001197632
"AUDJPY, AUDNZD",0.005327,0.0025,-0.69778793,0.291797556,0.707202444,0.001306408
"AUDJPY, AUDUSD",0.005327,0.006053,-0.645904741,0.53818695,0.46081305,0.002381012
"AUDJPY, CADCHF",0.005327,0.004899,-0.559594847,0.47270514,0.52629486,0.002392124
"AUDJPY, CADJPY",0.005327,0.004427,-0.042035348,0.411426233,0.587573769,0.003330212
"AUDJPY, CHFJPY",0.005327,0.003393,-0.51156859,0.355215509,0.643784491,0.002030523
"AUDJPY, GBPAUD",0.005327,0.004151,-0.568558812,0.420809878,0.578190122,0.002160441
"AUDJPY, GBPCAD",0.005327,0.004095,-0.72486845,0.423973798,0.575026202,0.001713376
"AUDJPY, GBPCHF",0.005327,0.004237,0.057281505,0.382334844,0.616665184,0.00340361
"AUDJPY, GBPJPY",0.005327,0.00406,-0.678253289,0.419435838,0.579564162,0.001843157
"AUDJPY, GBPNZD",0.005327,0.004603,-0.56355573,0.452981518,0.546018482,0.002303018
"AUDJPY, GBPUSD",0.005327,0.004111,-0.047765224,0.378482511,0.620517489,0.003175055
"AUDJPY, NZDCAD",0.005327,0.004553,0.565354256,0.323343805,0.675656195,0.004292032
"AUDJPY, NZDCHF",0.005327,0.005457,-0.336427885,0.508533932,0.490466069,0.00310217
"AUDJPY, NZDJPY",0.005327,0.005916,0.084674365,0.556459575,0.442540426,0.004117691
"AUDJPY, NZDUSD",0.005327,0.006347,-0.188076566,0.572609708,0.426390292,0.003677389
"AUDJPY, USDCAD",0.005327,0.004198,0.574232435,0.235141426,0.763858574,0.004057685
"AUDJPY, USDCHF",0.005327,0.004141,0.589183541,0.21233843,0.786661573,0.004029036
"AUDJPY, USDJPY",0.005327,0.003077,-0.478688302,0.323073971,0.675926029,0.001964871
"AUDNZD, AUDUSD",0.0025,0.006053,0.878820585,0.899000011,0.100000052,0.002794416
"AUDNZD, CADCHF",0.0025,0.004899,0.764926998,0.898999365,0.100000671,0.002641157
"AUDNZD, CADJPY",0.0025,0.004427,0.742161552,0.898999301,0.100000711,0.002593087
"AUDNZD, CHFJPY",0.0025,0.003393,0.697082574,0.898999614,0.100000533,0.002495905
"AUDNZD, GBPAUD",0.0025,0.004151,0.138590904,0.765716739,0.233283261,0.002261869
"AUDNZD, GBPCAD",0.0025,0.004095,0.915802949,0.898999423,0.100004023,0.002627687
"AUDNZD, GBPCHF",0.0025,0.004237,-0.340979172,0.685502218,0.313497782,0.001774522
"AUDNZD, GBPJPY",0.0025,0.00406,0.802233073,0.898999399,0.100000685,0.002584598
"AUDNZD, GBPNZD",0.0025,0.004603,0.640649098,0.899,0.1,0.00256684
"AUDNZD, GBPUSD",0.0025,0.004111,0.6217368,0.898999994,0.100000012,0.00252372
